"filename", "language", "Dart", "comment", "blank", "total"
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/timetable_page/timetable/course_preview.dart", "Dart", 568, 8, 27, 603
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/timetable_page/timetable/ondemand_preview.dart", "Dart", 341, 7, 21, 369
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/timetable_page/timetable/timetable_data_manager.dart", "Dart", 197, 1, 31, 229
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/timetable_page/timetable/timetable_page.dart", "Dart", 1400, 31, 88, 1519
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/to_do_page/stats_page/stats_page.dart", "Dart", 820, 9, 129, 958
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/to_do_page/to_do_page.dart", "Dart", 17, 0, 5, 22
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/to_do_page/todo_assist_files/data_receiver.dart", "Dart", 80, 1, 17, 98
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/to_do_page/todo_assist_files/screen_manager.dart", "Dart", 79, 10, 13, 102
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/to_do_page/todo_assist_files/size_config.dart", "Dart", 26, 0, 4, 30
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/to_do_page/todo_daily_view_page/study_progress_indicator.dart", "Dart", 387, 32, 46, 465
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/to_do_page/todo_daily_view_page/time_input_page.dart", "Dart", 199, 0, 31, 230
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/to_do_page/todo_daily_view_page/timer_view.dart", "Dart", 259, 6, 41, 306
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/to_do_page/todo_daily_view_page/todo_daily_view_page.dart", "Dart", 1171, 31, 133, 1335
"Total", "-", 28312, 564, 2291, 31167
